Siren_Siret;Campagne;Type_pile;Nature_pile;Tonnage;Departement;Origine_collecte;Date_creation;Date_modification
3,49006E+13;Collecte 2009;AUTOM;;3.046;68;DISTR;2010-05-05T16:42:39;2010-05-05T16:42:39
3,49006E+13;Collecte 2009;AUTOM;;0.0;68;COMM;2010-05-05T16:42:39;2010-05-05T16:42:39
3,49006E+13;Collecte 2009;AUTOM;;0.0;68;AUTR;2010-05-05T16:42:39;2010-05-05T16:42:39
3,53714E+13;Collecte 2009;AUTOM;;78.0;83;DISTR;2010-05-06T16:42:56;2010-05-06T16:42:56
3,53714E+13;Collecte 2009;AUTOM;;0.0;83;COMM;2010-05-06T16:42:56;2010-05-06T16:42:56
3,53714E+13;Collecte 2009;AUTOM;;0.0;83;AUTR;2010-05-06T16:42:56;2010-05-06T16:42:56
3,99058E+13;Collecte 2009;AUTOM;;2.875;67;DISTR;2010-05-10T16:10:10;2010-05-10T16:10:10
3,99058E+13;Collecte 2009;AUTOM;;0.0;67;COMM;2010-05-10T16:10:10;2010-05-10T16:10:10
3,99058E+13;Collecte 2009;AUTOM;;0.0;67;AUTR;2010-05-10T16:10:10;2010-05-10T16:10:10
4,3404E+13;Collecte 2009;AUTOM;;0.0;66;DISTR;2010-05-17T09:28:58;2010-05-17T09:28:58
4,3404E+13;Collecte 2009;AUTOM;;0.0;66;COMM;2010-05-17T09:28:58;2010-05-17T09:28:58
4,3404E+13;Collecte 2009;AUTOM;;1.6;66;AUTR;2010-05-17T09:28:58;2010-05-17T09:28:58
4,4751E+13;Collecte 2009;AUTOM;;1.211;59;DISTR;2010-05-17T15:15:40;2010-05-17T15:15:40
4,4751E+13;Collecte 2009;AUTOM;;0.0;59;COMM;2010-05-17T15:15:40;2010-05-17T15:15:40
4,4751E+13;Collecte 2009;AUTOM;;0.0;59;AUTR;2010-05-17T15:15:40;2010-05-17T15:15:40
8,9628E+13;Collecte 2009;AUTOM;;0.96;35;DISTR;2010-05-20T15:28:10;2010-05-20T15:28:10
8,9628E+13;Collecte 2009;AUTOM;;0.0;35;COMM;2010-05-20T15:28:10;2010-05-20T15:28:10
8,9628E+13;Collecte 2009;AUTOM;;0.0;35;AUTR;2010-05-20T15:28:10;2010-05-20T15:28:10
8,9628E+13;Collecte 2009;AUTOM;;2.44;35;DISTR;2010-05-20T15:28:15;2010-05-20T15:28:15
8,9628E+13;Collecte 2009;AUTOM;;0.0;35;COMM;2010-05-20T15:28:15;2010-05-20T15:28:15
8,9628E+13;Collecte 2009;AUTOM;;0.0;35;AUTR;2010-05-20T15:28:15;2010-05-20T15:28:15
3,83719E+13;Collecte 2009;AUTOM;;0.654;3;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;3;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;3;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.889;14;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;14;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;14;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.284;17;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;17;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;17;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.48;18;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;18;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;18;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.779;34;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;34;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;34;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.488;36;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;36;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;36;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;1.349;42;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;42;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;42;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.595;44;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;44;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;44;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.417;47;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;47;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;47;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.515;56;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;56;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;56;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.189;59;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;59;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;59;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.391;62;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;62;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;62;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.353;71;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;71;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;71;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;2.358;75;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;75;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;75;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.566;76;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;76;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;76;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.52;78;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;78;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;78;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.41;83;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;83;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;83;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;2.451;92;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;92;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;92;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.598;93;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;93;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;93;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;1.004;94;DISTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;94;COMM;2010-05-28T11:43:52;2010-05-28T11:43:52
3,83719E+13;Collecte 2009;AUTOM;;0.0;94;AUTR;2010-05-28T11:43:52;2010-05-28T11:43:52
3,18024E+13;Collecte 2009;PORT;;0.0;78;DISTR;2010-05-31T19:31:11;2010-05-31T19:31:11
3,18024E+13;Collecte 2009;PORT;;0.0;78;COMM;2010-05-31T19:31:11;2010-05-31T19:31:11
3,18024E+13;Collecte 2009;PORT;;0.0;78;AUTR;2010-05-31T19:31:11;2010-05-31T19:31:11
4,04941E+13;Collecte 2009;PORT;;0.0;69;DISTR;2010-06-01T10:31:03;2010-06-01T10:31:03
4,04941E+13;Collecte 2009;PORT;;0.0;69;COMM;2010-06-01T10:31:03;2010-06-01T10:31:03
4,04941E+13;Collecte 2009;PORT;;0.654;69;AUTR;2010-06-01T10:31:03;2010-06-01T10:31:03
3,79134E+13;Collecte 2009;AUTOM;;3.869;42;DISTR;2010-06-03T10:16:29;2010-06-03T10:16:29
3,79134E+13;Collecte 2009;AUTOM;;0.0;42;COMM;2010-06-03T10:16:29;2010-06-03T10:16:29
3,79134E+13;Collecte 2009;AUTOM;;0.0;42;AUTR;2010-06-03T10:16:29;2010-06-03T10:16:29
4,20079E+13;Collecte 2009;PORT;;0.0;69;DISTR;2010-06-04T09:46:12;2010-06-04T09:46:12
4,20079E+13;Collecte 2009;PORT;;0.0;69;COMM;2010-06-04T09:46:12;2010-06-04T09:46:12
