dpt,flux,tonnage,annee,mois
1,ND,419.000,2010,2
1,ND,40.000,2010,2
1,ND,242.000,2010,2
1,ND,925.495,2010,2
1,ND,2.390,2010,2
1,ND,20.032,2010,2
1,ND,39.539,2010,2
1,ND,1869.278,2011,3
1,ECRAN,62.378,2011,3
1,GEMHF,717.997,2010,3
1,LAMPE,8.001,2010,3
1,LAMPE,28.833,2010,3
1,LAMPE,0.000,2010,3
1,LAMPE,16.512,2010,3
1,GEMF,51.156,2011,3
1,GEMHF,119.914,2012,3
1,PAM,92.422,2012,3
1,ECRAN,78.374,2012,3
1,GEMF,55.266,2012,3
1,PAM,12.139,2012,3
1,ECRAN,0.200,2012,3
1,GEMF,379.533,2010,3
1,ECRAN,487.365,2010,3
1,PAM,618.458,2010,3
1,PAM,0.000,2011,3
1,PAM,33.913,2011,3
1,PAM,236.818,2011,3
1,PAM,34.063,2011,3
1,GEMHF,0.000,2011,3
1,GEMHF,232.188,2011,3
1,GEMHF,263.066,2011,3
1,GEMHF,35.368,2011,3
1,GEMF,0.000,2011,3
1,GEMF,91.391,2011,3
1,GEMF,151.544,2011,3
1,GEMF,16.364,2011,3
1,ECRAN,0.000,2011,3
1,ECRAN,56.841,2011,3
1,ECRAN,184.570,2011,3
1,ECRAN,21.854,2011,3
1,LAMPE,7.870,2011,3
1,LAMPE,30.743,2011,3
1,LAMPE,0.000,2011,3
1,LAMPE,18.686,2011,3
1,ECRAN,682.841,2011,3
1,GEMF,476.719,2011,3
1,GEMHF,966.771,2011,3
1,PAM,903.057,2011,3
1,PAM,6.658,2012,3
1,GEMHF,0.047,2012,3
1,GEMHF,112.790,2011,3
1,PAM,83.051,2011,3
1,PAM,2.988,2011,3
1,PAM,39.431,2012,2
1,ECRAN,43.557,2012,2
1,GEMHF,40.129,2012,2
1,GEMF,20.443,2012,2
1,PAM,146.601,2012,2
1,ECRAN,191.449,2012,2
1,GEMHF,146.982,2012,2
1,GEMF,107.990,2012,2
1,PAM,33.762,2012,2
1,ECRAN,95.093,2012,2
1,GEMHF,238.880,2012,2
1,GEMF,100.864,2012,2
1,LAMPE,10.295,2012,3
1,LAMPE,26.943,2012,3
1,LAMPE,0.000,2012,3
1,LAMPE,19.071,2012,3
1,ECRAN,0.000,2012,3
1,GEMF,0.000,2012,3
1,GEMHF,0.000,2012,3
1,PAM,5.870,2012,3
1,ECRAN,840.579,2012,3
1,GEMF,520.923,2012,3
1,GEMHF,947.496,2012,3
1,PAM,893.780,2012,3
1,PAM,33.922,2012,3
1,ECRAN,27.437,2012,3
1,GEMHF,39.818,2012,3
1,GEMF,13.814,2012,3
1,PAM,213.176,2012,3
1,ECRAN,211.561,2012,3
1,GEMHF,239.802,2012,3
1,GEMF,134.288,2012,3
1,PAM,31.275,2012,3
1,ECRAN,63.710,2012,3
1,GEMHF,243.812,2012,3
1,GEMF,109.435,2012,3
2,ND,2241.000,2010,2
2,ND,1246.000,2010,2
2,ND,0.000,2010,2
2,ND,0.000,2010,2
2,ND,9.427,2010,2
2,ND,19.713,2010,2
2,GEMF,0.000,2010,3
2,LAMPE,3.419,2010,3
2,LAMPE,11.705,2010,3
2,LAMPE,0.000,2010,3
2,LAMPE,7.326,2010,3
2,PAM,0.000,2011,3
2,PAM,27.898,2011,3
2,PAM,557.364,2011,3
2,PAM,164.951,2011,3
2,GEMHF,0.000,2011,3
2,GEMHF,277.569,2011,3
2,GEMHF,629.260,2011,3
2,GEMHF,388.876,2011,3
2,GEMF,0.000,2011,3
2,GEMF,131.760,2011,3
2,GEMF,335.133,2011,3
2,GEMF,174.984,2011,3
2,ECRAN,0.000,2011,3
2,ECRAN,68.475,2011,3
2,ECRAN,485.344,2011,3
2,ECRAN,164.490,2011,3
2,PAM,114.405,2012,3
2,ECRAN,136.805,2012,3
2,GEMHF,265.158,2012,3
2,LAMPE,4.089,2011,3
2,LAMPE,8.375,2011,3
2,LAMPE,0.000,2011,3
2,LAMPE,7.429,2011,3
2,PAM,83.918,2012,2
2,ECRAN,135.900,2012,2
2,GEMHF,225.963,2012,2
2,GEMF,103.708,2012,2
2,PAM,932.003,2012,2
2,ECRAN,924.906,2012,2
2,GEMHF,670.506,2012,2
2,GEMF,453.643,2012,2
2,PAM,27.801,2012,2
2,ECRAN,60.192,2012,2
2,GEMHF,205.408,2012,2
2,GEMF,104.871,2012,2
2,LAMPE,4.461,2012,3
2,LAMPE,13.678,2012,3
2,LAMPE,0.000,2012,3
2,LAMPE,12.226,2012,3
2,ECRAN,0.000,2012,3
2,GEMF,0.000,2012,3
2,GEMHF,0.000,2012,3
2,PAM,1.240,2012,3
2,GEMF,92.695,2012,3
2,PAM,802.694,2012,3
2,ECRAN,713.350,2012,3
2,GEMHF,730.324,2012,3
2,GEMF,409.846,2012,3
2,PAM,35.122,2012,3
2,ECRAN,75.100,2012,3
2,GEMHF,265.741,2012,3
2,GEMF,131.740,2012,3
3,ND,396.000,2010,2
3,ND,258.000,2010,2
3,ND,0.000,2010,2
3,ND,618.648,2010,2
3,ND,6.329,2010,2
3,ND,16.757,2010,2
3,ND,164.000,2010,2
3,ECRAN,12.196,2011,3
3,ECRAN,509.670,2011,3
3,ECRAN,10.000,2011,3
3,ECRAN,0.000,2010,3
3,LAMPE,3.326,2010,3
3,LAMPE,6.688,2010,3
3,LAMPE,0.000,2010,3
3,LAMPE,7.310,2010,3
3,GEMF,0.760,2011,3
3,GEMF,342.470,2011,3
3,GEMF,0.520,2011,3
3,GEMHF,683.430,2012,3
3,PAM,544.510,2012,3
3,ECRAN,499.970,2012,3
3,GEMF,387.050,2012,3
3,ECRAN,47.022,2012,3
3,GEMHF,10.230,2012,3
3,PAM,3.790,2012,3
3,PAM,3.206,2012,3
3,ECRAN,0.790,2012,3
3,GEMF,0.090,2012,3
3,PAM,0.000,2011,3
3,PAM,27.513,2011,3
3,PAM,17.978,2011,3
3,GEMHF,0.000,2011,3
3,GEMHF,255.097,2011,3
3,GEMHF,26.789,2011,3
3,GEMF,0.000,2011,3
3,GEMF,128.470,2011,3
3,GEMF,9.304,2011,3
3,ECRAN,0.000,2011,3
3,ECRAN,65.980,2011,3
3,ECRAN,16.668,2011,3
3,PAM,29.955,2012,3
3,ECRAN,31.033,2012,3
3,GEMHF,26.949,2012,3
3,GEMF,7.778,2012,3
3,PAM,30.512,2012,3
3,ECRAN,86.094,2012,3
3,GEMHF,277.061,2012,3
3,GEMF,125.797,2012,3
3,LAMPE,4.172,2011,3
3,LAMPE,5.742,2011,3
3,LAMPE,0.000,2011,3
3,LAMPE,5.438,2011,3
3,PAM,4.159,2012,3
3,ECRAN,33.148,2012,3
3,PAM,630.966,2012,3
3,GEMHF,654.656,2012,3
3,GEMF,393.371,2012,3
3,ECRAN,607.017,2012,3
3,PAM,14.500,2012,3
